"","RT","SERIALNO","SPORDER","PUMA","ST","ADJINC","PWGTP","AGEP","CIT","CITWP","COW","DDRS","DEAR","DEYE","DOUT","DPHY","DRAT","DRATX","DREM","ENG","FER","GCL","GCM","GCR","HINS1","HINS2","HINS3","HINS4","HINS5","HINS6","HINS7","INTP","JWMNP","JWRIP","JWTR","LANX","MAR","MARHD","MARHM","MARHT","MARHW","MARHYP","MIG","MIL","MLPA","MLPB","MLPCD","MLPE","MLPFG","MLPH","MLPI","MLPJ","MLPK","NWAB","NWAV","NWLA","NWLK","NWRE","OIP","PAP","RELP","RETP","SCH","SCHG","SCHL","SEMP","SEX","SSIP","SSP","WAGP","WKHP","WKL","WKW","WRK","YOEP","ANC","ANC1P","ANC2P","DECADE","DIS","DRIVESP","ESP","ESR","FHICOVP","FOD1P","FOD2P","HICOV","HISP","INDP","JWAP","JWDP","LANP","MIGPUMA","MIGSP","MSP","NAICSP","NATIVITY","NOP","OC","OCCP","PAOC","PERNP","PINCP","POBP","POVPIP","POWPUMA","POWSP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACAIAN","RACASN","RACBLK","RACNH","RACNUM","RACPI","RACSOR","RACWHT","RC","SCIENGP","SCIENGRLP","SFN","SFR","SOCP","VPS","WAOB","FAGEP","FANCP","FCITP","FCITWP","FCOWP","FDDRSP","FDEARP","FDEYEP","FDISP","FDOUTP","FDPHYP","FDRATP","FDRATXP","FDREMP","FENGP","FESRP","FFERP","FFODP","FGCLP","FGCMP","FGCRP","FHINS1P","FHINS2P","FHINS3C","FHINS3P","FHINS4C","FHINS4P","FHINS5C","FHINS5P","FHINS6P","FHINS7P","FHISP","FINDP","FINTP","FJWDP","FJWMNP","FJWRIP","FJWTRP","FLANP","FLANXP","FMARHDP","FMARHMP","FMARHTP","FMARHWP","FMARHYP","FMARP","FMIGP","FMIGSP","FMILPP","FMILSP","FOCCP","FOIP","FPAP","FPERNP","FPINCP","FPOBP","FPOWSP","FPRIVCOVP","FPUBCOVP","FRACP","FRELP","FRETP","FSCHGP","FSCHLP","FSCHP","FSEMP","FSEXP","FSSIP","FSSP","FWAGP","FWKHP","FWKLP","FWKWP","FWRKP","FYOEP","pwgtp1","pwgtp2","pwgtp3","pwgtp4","pwgtp5","pwgtp6","pwgtp7","pwgtp8","pwgtp9","pwgtp10","pwgtp11","pwgtp12","pwgtp13","pwgtp14","pwgtp15","pwgtp16","pwgtp17","pwgtp18","pwgtp19","pwgtp20","pwgtp21","pwgtp22","pwgtp23","pwgtp24","pwgtp25","pwgtp26","pwgtp27","pwgtp28","pwgtp29","pwgtp30","pwgtp31","pwgtp32","pwgtp33","pwgtp34","pwgtp35","pwgtp36","pwgtp37","pwgtp38","pwgtp39","pwgtp40","pwgtp41","pwgtp42","pwgtp43","pwgtp44","pwgtp45","pwgtp46","pwgtp47","pwgtp48","pwgtp49","pwgtp50","pwgtp51","pwgtp52","pwgtp53","pwgtp54","pwgtp55","pwgtp56","pwgtp57","pwgtp58","pwgtp59","pwgtp60","pwgtp61","pwgtp62","pwgtp63","pwgtp64","pwgtp65","pwgtp66","pwgtp67","pwgtp68","pwgtp69","pwgtp70","pwgtp71","pwgtp72","pwgtp73","pwgtp74","pwgtp75","pwgtp76","pwgtp77","pwgtp78","pwgtp79","pwgtp80"
"362","P","94966",1,100,56,1008425,20,39,1,NA,7,2,2,2,2,2,NA,NA,2,NA,2,2,NA,NA,1,2,2,2,2,2,2,0,NA,NA,11,2,1,2,2,1,2,1995,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,0,0,1,NA,20,0,2,0,0,40000,20,1,1,1,NA,2,20,89,NA,2,NA,NA,1,0,NA,NA,1,1,7390,NA,NA,NA,NA,NA,1,"5416",1,NA,0,430,2,40000,40000,56,217,100,56,1,2,3,1,1,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,"119XXX",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,30,14,24,31,21,29,6,6,30,15,21,25,20,4,18,5,7,37,15,22,34,19,18,32,28,29,4,10,17,13,21,28,16,7,16,5,7,34,14,25,36,16,20,43,24,23,6,5,17,23,22,29,22,4,22,7,7,46,22,21,23,18,24,30,20,34,3,7,24,12,18,36,13,5,17,5,7,40,22
"942","P","222259",2,100,56,1008425,17,65,1,NA,1,2,2,2,2,2,NA,NA,2,NA,NA,2,NA,NA,2,2,2,2,2,2,2,0,5,1,1,2,3,2,2,2,2,1974,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,15,0,1,NA,16,0,2,0,0,22000,40,1,1,1,NA,2,22,50,NA,2,1,NA,1,0,NA,NA,2,1,5090,116,76,NA,100,56,4,"447",1,NA,0,20,4,22000,22000,6,194,100,56,2,2,3,1,1,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,"111021",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,12,11,15,4,11,21,58,19,3,6,34,16,7,21,27,24,10,15,4,15,12,17,19,6,16,16,37,29,5,5,43,18,3,35,33,19,12,29,24,20,27,13,24,33,21,9,5,6,21,21,6,20,25,5,7,22,27,10,28,26,15,17,22,23,18,7,4,7,16,13,7,29,25,6,6,22,14,22
"4294","P","1091456",1,400,56,1008425,83,57,1,NA,1,2,2,2,2,2,NA,NA,2,NA,NA,2,NA,NA,1,2,2,2,2,2,2,133000,15,1,1,2,1,2,2,2,2,2011,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,0,0,1,NA,19,0,1,0,0,70000,40,1,1,1,NA,1,939,999,NA,2,1,NA,1,0,NA,NA,1,1,4590,81,39,NA,NA,NA,1,"42S",1,NA,0,4710,NA,70000,203000,56,501,400,56,1,2,3,1,1,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,"411012",NA,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,152,73,19,72,137,81,87,172,82,27,23,23,84,73,85,105,74,133,151,23,150,105,26,84,149,80,77,142,88,26,31,26,77,81,72,76,73,122,142,116,20,72,116,93,28,81,77,27,87,111,133,149,101,92,87,80,78,26,22,138,31,87,154,81,32,90,82,26,66,143,165,117,79,83,68,78,95,27,31,27
"5556","P","1426745",1,300,56,1008425,163,92,1,NA,NA,1,2,1,1,1,NA,NA,1,NA,NA,2,NA,NA,2,2,1,2,1,2,2,30,NA,NA,NA,2,2,2,2,1,2,1946,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,0,0,0,20400,1,NA,19,0,2,0,12600,0,NA,3,NA,2,NA,2,82,89,NA,1,NA,NA,6,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,3,"",1,NA,0,NA,4,0,33030,31,303,NA,NA,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,"",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NA,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,163,70,166,314,78,63,205,152,115,316,191,192,127,170,148,49,149,62,228,168,185,58,156,322,44,53,240,160,164,210,139,278,160,210,154,36,222,51,249,174,161,46,144,263,67,57,273,152,134,272,184,266,144,189,123,44,150,46,279,242,198,46,159,315,56,42,272,161,159,230,160,262,179,154,178,70,136,61,295
"2983","P","763274",3,100,56,1008425,19,15,1,NA,NA,2,2,2,2,2,NA,NA,2,NA,NA,NA,NA,NA,1,1,2,2,2,2,2,0,NA,NA,NA,2,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,2,11,12,0,1,0,0,0,NA,NA,NA,NA,NA,2,195,97,NA,2,NA,7,NA,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,6,"",1,7,1,NA,NA,NA,0,16,167,NA,NA,1,2,4,1,1,1,0,0,0,0,1,0,0,1,1,NA,NA,NA,NA,"",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,18,28,16,34,46,20,5,25,51,5,17,15,6,27,9,12,18,20,43,5,29,5,19,18,4,19,31,5,6,30,19,18,30,18,28,18,16,15,22,5,12,9,24,24,7,18,40,7,8,39,20,11,28,29,37,16,16,22,6,45,20,37,20,12,25,18,6,24,27,6,12,20,8,22,5,14,20,17,5
"5166","P","1330732",2,100,56,1008425,54,60,1,NA,NA,2,2,2,2,2,NA,NA,2,2,NA,2,NA,NA,1,2,2,2,2,2,2,0,NA,NA,NA,1,1,2,2,1,2,1974,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,2,0,0,1,0,1,NA,20,0,2,0,0,0,NA,3,NA,2,NA,1,89,999,NA,2,NA,NA,6,0,NA,NA,1,1,NA,NA,NA,614,NA,NA,1,"",1,NA,0,NA,4,0,0,16,501,NA,NA,1,2,2,1,1,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,"",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,47,121,74,58,105,104,82,55,42,39,72,52,100,44,69,104,114,104,49,67,72,15,23,49,12,18,51,48,47,52,17,51,17,64,18,13,20,15,53,56,48,113,84,54,105,105,77,42,43,59,77,60,85,40,90,127,85,77,60,65,43,12,19,59,19,16,44,44,58,66,13,54,17,55,24,17,15,23,60
"1283","P","315111",3,500,56,1008425,95,24,1,NA,1,2,2,2,2,2,NA,2,2,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,0,10,1,1,2,3,1,2,1,2,2011,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,600,0,13,0,1,NA,16,0,1,0,0,28000,40,1,1,1,NA,1,32,999,NA,2,1,NA,1,1,NA,NA,1,1,6170,72,31,NA,400,56,4,"484",1,NA,0,6320,NA,28000,28600,31,235,500,56,1,2,1,1,1,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,"47207X",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,1,NA,1,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,91,120,21,139,168,94,83,26,21,184,93,85,106,204,176,78,91,35,44,91,97,148,26,137,107,79,129,31,29,91,78,113,139,212,92,79,92,28,34,106,176,109,19,126,173,68,97,27,23,157,95,81,115,151,107,105,94,28,38,84,95,136,34,149,125,92,109,32,18,141,133,95,143,151,87,124,94,35,55
"5170","P","1333477",2,200,56,1008425,124,47,1,NA,1,2,2,2,2,2,NA,NA,2,NA,2,2,NA,NA,1,2,2,2,2,2,2,0,5,1,1,2,1,2,2,3,2,2011,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,1,0,1,NA,17,0,2,0,0,30000,40,1,1,1,NA,4,999,999,NA,2,1,NA,1,0,NA,NA,1,1,5090,89,49,NA,NA,NA,1,"447",1,NA,0,4720,4,30000,30000,6,501,200,56,1,2,2,1,1,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,"412010",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,130,137,49,135,34,115,108,33,132,262,52,46,171,109,134,189,123,208,33,192,122,113,242,110,261,127,86,234,111,45,194,165,41,167,90,32,115,42,237,111,155,126,30,136,68,169,127,46,152,146,31,38,193,144,114,156,146,209,33,120,113,109,281,178,174,108,155,168,96,59,231,208,36,90,104,41,127,35,182
"378","P","98874",2,500,56,1008425,120,42,1,NA,1,2,2,2,2,2,NA,NA,2,NA,2,2,NA,NA,1,2,2,2,2,2,2,0,7,1,1,2,1,2,2,3,2,2004,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,300,0,1,0,1,NA,20,0,2,0,0,16800,35,1,4,1,NA,1,50,999,NA,2,1,NA,1,0,NA,NA,1,1,5070,80,40,NA,NA,NA,1,"44611",1,NA,0,4720,4,16800,17100,56,109,500,56,1,2,3,1,1,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,"412010",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,199,50,150,162,224,47,90,149,32,157,108,38,109,114,98,31,179,175,38,129,135,112,38,211,108,163,205,174,146,46,38,115,152,31,179,107,88,128,93,163,162,50,111,172,241,41,97,130,36,114,119,51,123,125,85,34,205,194,34,117,88,119,40,269,196,107,205,207,131,39,35,114,148,23,198,95,123,146,92
"4345","P","1103354",2,400,56,1008425,15,57,1,NA,1,2,2,2,2,2,NA,2,2,NA,NA,2,NA,NA,2,2,2,2,2,2,2,0,8,1,1,2,1,2,2,2,2,1979,1,2,0,0,1,0,0,0,0,0,0,3,5,3,3,3,0,0,1,13300,1,NA,13,0,1,0,0,33500,50,1,3,1,NA,1,82,999,NA,2,1,NA,1,0,NA,NA,2,1,490,95,55,NA,NA,NA,1,"213",1,NA,0,6840,NA,33500,46800,48,453,400,56,2,2,1,1,1,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,"475040",12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,21,20,12,13,14,24,5,24,14,4,4,5,12,25,5,12,14,15,13,15,5,3,14,16,13,4,22,4,16,31,25,21,14,3,22,14,12,15,10,10,19,19,17,19,13,21,4,25,10,4,5,4,16,26,3,12,14,14,13,17,3,5,13,17,14,5,27,4,14,28,19,23,15,4,23,17,15,18,17
"857","P","207882",1,400,56,1008425,96,34,4,1998,1,2,2,2,2,2,NA,NA,2,NA,NA,2,NA,NA,1,2,2,2,2,2,2,0,20,1,1,2,3,2,2,2,2,2003,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,0,0,1,NA,20,0,1,0,0,45000,40,1,1,1,1981,1,703,999,5,2,1,NA,1,0,NA,NA,1,1,8870,92,49,NA,NA,NA,4,"8113",2,NA,0,7340,NA,45000,45000,242,236,400,56,1,2,2,6,42,10,0,1,0,0,1,0,0,0,0,NA,NA,NA,NA,"499071",NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,33,77,22,259,84,19,25,104,130,120,95,80,128,124,35,197,52,124,159,89,21,144,53,111,160,113,32,126,62,79,81,83,157,78,34,160,170,156,30,117,258,65,178,63,92,95,123,161,99,81,107,99,31,180,155,30,56,16,31,93,99,131,156,24,151,260,150,79,91,132,77,87,28,58,175,47,135,39,176
"3313","P","843324",2,200,56,1008425,69,47,1,NA,6,2,2,2,2,2,NA,NA,2,NA,2,2,NA,NA,1,2,2,2,2,2,2,0,NA,NA,NA,2,1,2,2,1,2,2011,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,2,0,0,1,0,1,NA,16,1200,2,0,0,0,40,1,5,2,NA,2,195,939,NA,2,NA,NA,3,0,NA,NA,1,1,180,NA,NA,NA,NA,NA,1,"112",1,NA,0,205,4,1200,1200,39,262,NA,NA,1,2,2,1,1,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,"119013",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,85,81,26,66,122,20,17,115,86,60,149,59,110,87,64,70,24,48,18,109,54,64,25,81,130,20,18,122,74,67,153,70,105,52,76,73,15,84,25,108,81,79,18,66,128,24,27,92,87,73,118,74,121,73,96,91,23,74,20,93,70,67,30,60,96,27,22,96,55,59,107,64,111,61,43,56,23,68,24,126
"5688","P","1467747",2,300,56,1008425,35,74,1,NA,7,2,2,2,2,2,NA,2,2,NA,NA,2,NA,NA,2,2,1,2,2,2,2,17000,NA,NA,NA,2,1,2,2,3,2,1997,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,35400,0,1,0,1,NA,16,0,1,0,7600,0,NA,2,NA,2,NA,1,50,999,NA,2,NA,NA,6,0,NA,NA,1,1,770,NA,NA,NA,NA,NA,1,"23",1,NA,0,430,NA,0,60000,56,501,NA,NA,2,1,4,1,1,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,"119XXX",NA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,28,10,37,9,34,32,39,30,12,8,35,37,12,45,27,9,11,11,31,37,70,28,63,47,55,72,62,63,25,38,55,40,37,66,70,36,35,45,8,9,37,12,32,11,36,41,47,35,10,10,32,37,14,37,34,9,9,8,42,40,63,35,66,36,77,54,49,69,32,30,53,52,34,68,49,33,46,31,11
"2130","P","535838",1,400,56,1008425,81,46,1,NA,1,2,2,2,2,2,NA,2,2,NA,NA,2,NA,NA,2,1,2,2,2,2,2,11000,NA,NA,11,2,1,2,2,1,2,1993,3,2,0,1,0,0,0,0,0,0,0,3,5,3,3,3,0,0,0,0,1,NA,19,0,1,0,0,67000,60,1,1,1,NA,4,999,999,NA,2,NA,NA,1,1,NA,NA,1,1,180,NA,NA,NA,400,56,1,"112",1,NA,0,6050,NA,67000,78000,56,501,400,56,1,2,3,1,1,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,"4520XX",4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,NA,1,NA,1,NA,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,68,59,68,82,142,78,62,27,33,145,166,27,71,144,24,26,75,75,139,79,100,88,70,75,29,90,94,144,132,26,22,134,91,26,113,148,120,84,25,77,85,87,97,69,164,79,75,23,26,118,127,26,78,111,27,29,70,64,185,97,99,89,70,81,25,100,94,133,134,22,22,137,102,28,131,127,86,98,22,70
"3003","P","769653",2,300,56,1008425,182,28,1,NA,1,2,2,2,2,2,NA,NA,2,NA,2,NA,NA,NA,1,2,2,2,2,2,2,0,NA,NA,NA,2,5,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,12,0,1,NA,19,0,2,0,0,0,NA,2,NA,NA,NA,4,999,999,NA,2,NA,NA,3,1,NA,NA,1,1,490,NA,NA,NA,NA,NA,6,"213",1,NA,0,9130,4,0,0,33,0,NA,NA,1,2,3,1,1,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,"533030",NA,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,NA,1,NA,1,NA,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,182,277,70,223,269,53,65,271,159,131,199,183,206,235,245,125,28,250,104,95,276,270,336,209,52,402,279,39,204,130,56,185,39,268,260,127,259,154,243,32,178,181,364,121,71,257,326,96,269,197,47,183,73,251,214,137,222,159,273,273,262,152,108,172,243,56,64,314,142,188,189,163,288,286,232,167,79,86,49,206
"2644","P","687648",2,400,56,1008425,66,52,1,NA,NA,2,2,2,2,2,NA,NA,2,NA,NA,1,5,1,1,2,2,2,2,2,2,1800,NA,NA,NA,2,1,2,2,3,2,2000,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,0,0,1,7200,1,NA,13,0,2,0,0,0,NA,3,NA,2,NA,1,939,999,NA,2,NA,NA,6,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,"",1,NA,0,NA,4,0,9000,6,453,NA,NA,1,2,4,1,1,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,"",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,20,80,137,54,21,27,54,73,22,121,63,108,101,65,95,20,90,63,51,65,109,61,24,55,102,104,53,73,117,23,68,21,25,77,23,107,71,63,78,65,131,78,14,65,122,139,77,59,95,24,71,20,20,70,18,96,54,51,88,72,21,63,84,94,20,16,63,52,19,111,64,116,134,87,103,23,61,69,58
"115","P","30428",1,200,56,1008425,57,81,1,NA,6,2,1,2,2,1,NA,NA,2,NA,NA,2,NA,NA,2,1,1,2,2,2,2,36000,3,1,1,2,1,2,2,1,2,1960,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,0,0,1,NA,19,1,1,0,17600,0,50,1,1,1,NA,2,97,26,NA,1,1,NA,1,0,NA,NA,1,1,180,94,55,NA,NA,NA,2,"112",1,NA,0,205,NA,1,53601,56,478,200,56,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,"119013",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,90,58,51,106,78,81,63,53,45,25,51,16,59,44,24,72,92,17,16,18,22,69,58,17,70,19,61,46,45,127,56,79,53,48,111,56,18,75,85,17,20,59,64,16,71,16,48,56,46,109,62,82,54,54,96,52,18,86,96,105,99,69,58,83,61,104,46,58,64,16,56,22,61,40,17,75,110,18,15,94
"847","P","206618",3,500,56,1008425,34,6,1,NA,NA,2,2,2,NA,2,NA,NA,2,NA,NA,NA,NA,NA,2,2,2,1,2,2,2,NA,NA,NA,NA,2,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,3,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,87,917,NA,2,NA,1,NA,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"",1,1,1,NA,NA,NA,NA,56,76,NA,NA,2,1,4,1,1,1,0,0,0,0,1,0,0,1,1,NA,NA,NA,NA,"",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,47,47,39,44,12,31,31,41,10,34,57,31,10,8,31,27,11,60,35,40,65,59,26,68,12,44,54,39,10,35,36,31,9,12,37,37,10,50,31,36,8,12,33,10,53,44,38,36,50,34,9,34,60,56,29,43,55,11,48,34,9,9,38,9,59,32,30,42,49,44,10,31,50,49,32,28,62,11,33
"3540","P","896617",1,400,56,1008425,12,70,1,NA,NA,2,1,2,1,1,NA,NA,2,NA,NA,2,NA,NA,2,1,1,2,2,2,2,0,NA,NA,NA,2,2,2,2,1,2,1976,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,0,0,0,2400,1,NA,16,0,2,0,19200,0,NA,3,NA,2,NA,2,24,3,NA,1,NA,NA,6,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,3,"",1,NA,0,NA,4,0,21600,26,190,NA,NA,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,"",NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,14,3,11,25,11,3,4,14,10,5,22,14,27,19,11,18,1,10,13,14,15,5,9,16,13,4,3,15,10,3,19,9,20,22,12,22,4,10,12,12,11,3,13,20,9,3,5,11,11,4,20,11,18,16,13,23,5,10,17,10,11,3,13,17,10,3,3,12,12,3,22,10,22,24,14,27,3,11
